time,temp,OXY_oxy,NIT_nit,NIT_amm,PHS_frp,SIL_rsi,OGM_doc,PHY_TCHLA,NRMSE
2023-11-12 05:16:18,-9776.26854572954,-39962676.342311,-107874.604679968,-484799.231305774,-13199.3231667846,-484112.705804586,-3071714.8330944,-36788.9508870753,1.31402085726674
2023-11-12 05:14:51,-28629.2660253518,-20358474.1146976,-94608.942565178,-467931.511453493,-12155.9452535818,-441566.678042835,-3479122.16707853,-40106.7578561384,1.30010496201468
2023-11-12 05:13:22,-45537.4584447735,-16357800.5519764,-84928.7213207114,-465364.814423531,-12439.9818140171,-436589.572213859,-3906317.63467332,-35308.9371421406,1.30631943296525
2023-11-12 05:11:54,-11163.8016268609,-30068312.3610022,-86838.6698697936,-471020.757723017,-12935.1007016531,-462916.644023491,-3703763.69606598,-37947.0279871707,1.280242904747
2023-11-12 05:10:29,-47549.0726479958,-23601844.4042778,-90703.0041770649,-475629.65939479,-12328.9726619341,-426666.811309227,-4184768.05935301,-39291.2950082545,1.35803068570888
2023-11-12 05:09:04,-45338.4014819956,-21058135816265,-2335949612229.78,-2351198452053.58,-14684.0770543075,-2327346402169.43,-2494851884721.79,-1480269464105.25,3214.84530474923
2023-11-12 05:07:53,-63318.8119450201,-21295385.8165823,-75359.1211680803,-473840.161417101,-12376.8240280788,-435829.932141862,-3872076.1802917,-40735.2321529602,1.36642310431742
2023-11-12 05:06:25,-43741.060826173,-26585609.5094001,-68541.3232311344,-485338.365670602,-12755.4953923719,-437044.778908073,-2995550.75661149,-30932.203266569,1.30773358895758
2023-11-12 05:04:55,-38490.0445231131,-34528344.0663832,-65194.7202751728,-477103.278667488,-12065.3560754679,-450055.745853502,-10714610.0125201,-32718.3305929533,1.41726518511424
2023-11-12 05:03:27,-26602.9708943563,-43937352.8868755,-609469.466799073,-476702.506626959,-12493.0447118041,-448105.701466309,-10465301.6199354,-71617.5205937483,1.73863956693167
2023-11-12 05:01:54,-26582.4825511698,-22761641.3878913,-190568.774599594,-466800.766170367,-10371.2949871743,-987402.188798329,-69722267.1385084,-202222.971028129,2.12405845977106
